tim_id,type,manufacturer,mpn,description,thermal_conductivity_wmk,thickness_mm,width_mm,length_mm,price_thb,weight_g
,Grease,"Shiu Li Technology Co., Ltd.",S-PUTTY2-100-KIT,Thermal Silicone Putty 100 gram Cartridge,6.0,,,,2765.1,100.0
,Grease,"Shiu Li Technology Co., Ltd.",H-PUTTY2-100-KIT,Thermal Silicone Putty 100 gram Cartridge,6.0,,,,2856.43,100.0
,Grease,"Shiu Li Technology Co., Ltd.",G3380NA-120-KIT,Thermal Non-Silicone Grease 120 gram Cartridge,1.3,,,,2859.68,120.0
,Grease,"Shiu Li Technology Co., Ltd.",EPDM30-135,"Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges",3.0,,,,2993.9,125.0
,Grease,Bergquist Company,LF2000-00-00-30CC,"Thermal Interface Products 1-Part, Liquid Formable Material, 30CC Cartridge, 2 W/m-K, Liqui-Form",2.0,,,,3041.03,75.0
,Grease,t-Global Technology,TG-N4000-55CC,Thermal Non-Silicone Putty 55cc Syringe,4.0,,,,3043.95,137.5
,Grease,Laird Technologies - Thermal Materials,A17170-02,Thermal Silicone Compound 180cc Cartridge,3.7,,,,3057.28,450.0
,Grease,t-Global Technology,TG-A7000-55CC,Thermal Silicone Putty 50cc Syringe,7.0,,,,3062.8,125.0
,Grease,European Thermodynamics Ltd,GCS-NSP30-100ML,Thermal Non-Silicone Putty 100 ml Syringe,3.0,,,,3065.73,250.0
,Grease,t-Global Technology,TG-N8000-30CC,Thermal Non-Silicone Putty 30cc Syringe,8.0,,,,3084.9,75.0
,Grease,"Shiu Li Technology Co., Ltd.",N-PUTTY2-100-KIT,Thermal Non-Silicone Putty 100 gram Cartridge,5.0,,,,3161.93,100.0
,Grease,Chip Quik Inc.,TC2-50G,Thermal Silicone Compound 50 gram Jar,4.3,,,,3248.38,50.0
,Grease,MG Chemicals,8618-85ML,Thermal Non-Silicone Grease 85 ml Syringe,6.0,,,,3260.4,212.5
,Grease,"Shiu Li Technology Co., Ltd.",EPDM20-135-KIT,"Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges",2.2,,,,3287.38,125.0
,Grease,European Thermodynamics Ltd,GCS-NSP75 - 50ML,Thermal Non-Silicone Putty 50 ml Syringe,7.5,,,,3313.7,125.0
,Grease,"Shiu Li Technology Co., Ltd.",G3380D-100-KIT,Thermal Silicone Grease 100 gram Cartridge,6.0,,,,3348.15,100.0
,Grease,Bergquist,2292097,"Thermal Silicone Compound, 2 Part 50cc Cartridge",3.5,,,,3455.96,125.0
,Grease,"Shiu Li Technology Co., Ltd.",PK404DM-150-KIT,"Thermal Liquid Gap Filler, 2 Part 150 gram Cartridge",3.6,,,,3500.9,150.0
,Grease,"Shiu Li Technology Co., Ltd.",S-PUTTY5-100,Thermal Silicone Putty 30cc Tube,10.0,,,,3534.38,75.0
,Grease,"Shiu Li Technology Co., Ltd.",G3380NC-100-KIT,Thermal Non-Silicone Grease 100 gram Cartridge,4.5,,,,3562.0,100.0
,Grease,"Shiu Li Technology Co., Ltd.",D2000-140,"Thermal Silicone Grease, 2 Part 140 gram Cartridge",2.0,,,,3635.45,140.0
,Grease,"Shiu Li Technology Co., Ltd.",SH-PUTTY3-100-KIT,Thermal Silicone Putty 100 gram Cartridge,8.0,,,,3688.75,100.0
,Grease,Bergquist,2167388,"Thermal Silicone Compound, 2 Part 50cc Cartridge",3.5,,,,3805.19,125.0
,Grease,Laird Technologies - Thermal Materials,A17262-01,Thermal Silicone Gap Filler 50cc Cartridge,6.4,,,,3810.3,125.0
,Grease,t-Global Technology,TG-N8000-55CC,Thermal Non-Silicone Putty 55cc Syringe,8.0,,,,3978.0,137.5
,Grease,"Shiu Li Technology Co., Ltd.",PK605DM-160,"Thermal Liquid Gap Filler, 2 Part 160 gram Cartridge",5.0,,,,4154.8,160.0
,Grease,Bergquist,2179547,"Thermal Silicone Compound, 2 Part 50cc Cartridge",3.5,,,,4180.53,125.0
,Grease,"Shiu Li Technology Co., Ltd.",EPDM30-135-KIT,"Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges",3.0,,,,4203.88,125.0
,Grease,"Shiu Li Technology Co., Ltd.",S-PUTTY5-100-KIT,Thermal Silicone Putty 30cc Tube,10.0,,,,4216.88,75.0
,Grease,Laird Technologies - Thermal Materials,A16872-03,Thermal Liquid Gap Filler 180cc Cartridge,2.3,,,,4261.4,450.0
,Grease,Parker Chomerics,65-00-GREASE15-0160,Thermal Silicone Grease 160cc Container,1.5,,,,4322.5,400.0
,Grease,"Shiu Li Technology Co., Ltd.",TT3000-150,Thermal Silicone Grease 150 gram Cartridge,6.0,,,,4353.38,150.0
,Grease,Taica,DP-100,"Thermal Interface Products Thermal Conductive GEL, 6.5W/mK, 5.0kV/mm, 30ml Syringe, Lamda Gel DP",6.5,,,,4419.35,75.0
,Grease,Bergquist Company,LF3500-00-00-30CC,"Thermal Interface Products 1-Part, Liquid Formable Material, 30CC Cartridge, 3.5 W/m-K, Liqui-Form",3.5,,,,4472.65,75.0
,Grease,Wakefield Thermal Solutions,127-12-10,Thermal Non-Silicone Grease 1 gram Syringe,12.0,,,,4517.18,1.0
,Grease,Wakefield Thermal,127-12-10,"Thermal Interface Products Thermal Grease, Extreme Performance, Non-Silicone, 12 W/m-K, 10cc Syringe",12.0,,,,4517.18,25.0
,Grease,Parker Chomerics,65-00-GREASE30-0160,Thermal Silicone Grease 160cc Container,3.0,,,,4549.03,400.0
,Grease,Wakefield Thermal Solutions,127-20-10,Thermal Non-Silicone Grease 1 gram Syringe,20.0,,,,4708.28,1.0
,Grease,Wakefield Thermal,127-20-10,"Thermal Interface Products Thermal Grease, Extreme Performance, Non-Silicone, 20 W/m-K, 10cc Syringe",20.0,,,,4708.28,25.0
,Grease,Parker Chomerics,65-00-GREASE50-0160,Thermal Silicone Grease 160cc Container,5.0,,,,4774.25,400.0
,Grease,Laird Technologies,A14855-02,Thermal Interface Products Tgrease 1500 1kg 1.2 W/mK,1.2,,,,4779.78,1000.0
,Grease,Laird Technologies - Thermal Materials,A18560-09,Thermal Liquid Gap Filler 30cc Cartridge,9.1,,,,4789.2,75.0
,Grease,Laird Technologies - Thermal Materials,A18835-02,Thermal Liquid Gap Filler 200cc Cartridge,5.4,,,,4816.83,500.0
,Grease,"Shiu Li Technology Co., Ltd.",D2000-140-KIT,"Thermal Silicone Grease, 2 Part 140 gram Cartridge",2.0,,,,4845.43,140.0
,Grease,Parker Chomerics,65-00-GREASE70-0160,Thermal Silicone Grease 160cc Container,7.0,,,,4909.45,400.0
,Grease,Laird Technologies - Thermal Materials,A10548-5,Thermal Silicone Putty 100cc Jar,3.0,,,,5112.25,250.0
,Grease,Bergquist Company,TLF6000HG-00-00-150CC,"Thermal Interface Products Conductive, 1-Part, Liquid Formable, 180ml Cartridge, 6 W/m-K, Liqui-Form",6.0,,,,5204.55,450.0
,Grease,Parker Chomerics,65-01-GEL37-0180,Thermal Silicone Gel 180cc Syringe,3.7,,,,5235.43,450.0
,Grease,Bergquist Company,TGF3000SF-00-1500-200CC,"Thermal Interface Products Gap Filler, 2-Part, Sil-Free, Room Temp Cure, 3W/mK, 200ml Cartridge, TGF3000SF",3.0,,,,5239.98,500.0
,Grease,"Shiu Li Technology Co., Ltd.",PK605DM-160-KIT,"Thermal Liquid Gap Filler, 2 Part 160 gram Cartridge",5.0,,,,5364.45,160.0
,Grease,Bergquist Company,GF4500CVO-00-240-200CC,"Thermal Interface Products Liquid Gap-Filling Material, 2-Part, 4.5W/m-K, 200ml Cartridge, TGF4500CVO",4.5,,,,5424.58,500.0
,Grease,Bergquist,2624519,Thermal Silicone Gel 150cc Cartridge,6.0,,,,5516.23,375.0
,Grease,Bergquist Company,GF4500CVO-00-240-400CC,"Thermal Interface Products Liquid Gap-Filling Material, 2-Part, 4.5W/m-K, 400ml Cartridge, TGF4500CVO",4.5,,,,5928.0,1000.0
,Grease,Parker Chomerics,65-02-GEL20-0180,Thermal Gel Gap Filler 180cc Cartridge,2.4,,,,6594.9,450.0
,Grease,"Shiu Li Technology Co., Ltd.",X-PUTTY-900,Thermal Silicone Putty 900 gram Container,3.0,,,,6682.65,900.0
,Grease,Laird Technologies - Thermal Materials,A16872-04,Thermal Liquid Gap Filler 360cc Cartridge,2.3,,,,6831.83,900.0
,Grease,Parker Chomerics,65-02-GEL50VT-0180,Thermal Silicone Gel 180cc Syringe,5.2,,,,7108.73,450.0
,Grease,"Shiu Li Technology Co., Ltd.",PK700DM-140,"Thermal Liquid Gap Filler, 2 Part 50 ml, 400 ml Cartridges",7.0,,,,7484.75,125.0
,Grease,Laird Technologies - Thermal Materials,A18578-08,Thermal Liquid Gap Filler 75cc Cartridge,9.1,,,,7582.25,187.5
,Grease,Parker Chomerics,65-02-GEL75VT-0180,Thermal Silicone Gel 180cc Cartridge,7.5,,,,7977.13,450.0
,Grease,Laird Technologies - Thermal Materials,A17064-00,Thermal Phase Change Thermal Compound 1 kg Can,1.5,,,,8310.82,1000.0
,Grease,Laird Technologies - Thermal Materials,A18835-03,Thermal Liquid Gap Filler 400cc Cartridge,5.4,,,,8384.68,1000.0
