MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
S-PUTTY2-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,6.00W/m-K,,,,2680.02
2166733,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,2696.05
2191665,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,2787.57556
2166721,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,2834.16
2166558,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,2840.70556
2179541,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,3083.49625
8618-85ML,MG Chemicals,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 85 ml Syringe,6.00W/m-K,,,,3160.08
2167589,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,3233.6325
2165986,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,3240.16875
2292097,Bergquist,"Fans, Blowers, Thermal Management","Thermal Silicone Compound, 2 Part 50cc Cartridge",3.50W/m-K,,,,3349.84571
2179542,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,3383.91
2191843,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,3389.17571
2649737,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,3423.19571
2167388,Bergquist,"Fans, Blowers, Thermal Management","Thermal Silicone Compound, 2 Part 50cc Cartridge",3.50W/m-K,,,,3687.93
2193454,Bergquist,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 50cc Cartridge",1.80W/m-K,,,,3773.88
153-Q-NC,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 1 qt Container",-,,,,3833.66875
2682640,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,3867.93833
152-Q-NC,Wakefield Thermal Solutions,"Fans, Blowers, Thermal Management",Thermal Acrylic Adhesive 1 qt Container,-,,,,3898.5975
2196649,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,3929.04833
2322270,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,3947.37
2189146,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,4007.58833
2179547,Bergquist,"Fans, Blowers, Thermal Management","Thermal Silicone Compound, 2 Part 50cc Cartridge",3.50W/m-K,,,,4052.055
8329TCM-200ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 200 ml Jar",1.40W/m-K,,,,4085.395
8329TCS-200ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 200 ml Jar",1.40W/m-K,,,,4085.395
S-PUTTY5-100-KIT,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 30cc Tube,10.00W/m-K,,,,4087.13
2194122,Bergquist,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 50cc Cartridge",1.80W/m-K,,,,4189.605
2189771,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,4196.58833
SP400-0.007-00-54,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 19.05mm x 12.70mm Rectangular,0.9W/m-K,"0.0070"" (0.178mm)",,,4.73
SPK4-0.006-00-58,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 19.05mm x 12.70mm Rectangular,0.9W/m-K,"0.0060"" (0.152mm)",,,4.73
SP400-0.009-00-58,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 19.05mm x 12.70mm Rectangular,0.9W/m-K,"0.0090"" (0.229mm)",,,6.62
SP400-0.009-00-54,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 19.05mm x 12.70mm Rectangular,0.9W/m-K,"0.0090"" (0.229mm)",,,6.62
SP400-0.007-AC-58,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 19.05mm x 12.70mm Rectangular Adhesive - One Side,0.9W/m-K,"0.0070"" (0.178mm)",,,7.25
SP400-0.009-00-51,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 17.45mm x 14.27mm Rectangular,0.9W/m-K,"0.0090"" (0.229mm)",,,7.56
SP400-0.007-AC-54,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 19.05mm x 12.70mm Rectangular Adhesive - One Side,0.9W/m-K,"0.0070"" (0.178mm)",,,7.56
SP400-0.007-00-104,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 25.40mm x 19.05mm Rectangular,0.9W/m-K,"0.0070"" (0.178mm)",,,7.88
SPK4-0.006-00-104,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 25.40mm x 19.05mm Rectangular,0.9W/m-K,"0.0060"" (0.152mm)",,,8.19
